command,location_function
open all lights home,0
cutt all lights home,1
close all lights home,1
open the all lights home,0
cutt the all lights home,1
close the all lights home,1
open the all light home,0
cutt the all light home,1
close the all light home,1
open all light home,0
cutt all light home,1
close all light home,1
open the lights all home,0
cutt the lights all home,1
close the lights all home,1
open lights all home,0
open light all home,0
open the light all home,0
cutt the light all home,1
close the light all home,1
open all lights all home,0
cutt all lights all home,1
close all lights all home,1
open the all lights all home,0
cutt the all lights all home,1
close the all lights all home,1
open the all light all home,0
cutt the all light all home,1
close the all light all home,1
open all light all home,0
cutt all light all home,1
close all light all home,1
open the lights of all home,0
cutt the lights of all home,1
close the lights of all home,1
open lights of all home,0
open light of all home,0
open the light of all home,0
cutt the light of all home,1
close the light of all home,1
open all lights of all home,0
cutt all lights of all home,1
close all lights of all home,1
open the all lights of all home,0
cutt the all lights of all home,1
close the all lights of all home,1
open the all light of all home,0
cutt the all light of all home,1
close the all light of all home,1
open all light of all home,0
cutt all light of all home,1
close all light of all home,1
open the lights all of them,0
cutt the lights all of them,1
close the lights all of them,1
open lights all of them,0
open light all of them,0
open the light all of them,0
cutt the light all of them,1
close the light all of them,1
open all lights all of them,0
cutt all lights all of them,1
close all lights all of them,1
open the all lights all of them,0
cutt the all lights all of them,1
close the all lights all of them,1
open the all light all of them,0
cutt the all light all of them,1
close the all light all of them,1
open all light all of them,0
cutt all light all of them,1
close all light all of them,1
open the lights at house,0
cutt the lights at house,1
close the lights at house,1
open lights  at house,0
open light  at house,0
open the light at house,0
cutt the light at house,1
close the light at house,1
open all lights at house,0
cutt all lights at house,1
close all lights at house,1
open the all lights at house,0
cutt the all lights at house,1
close the all lights at house,1
open the all light at house,0
cutt the all light at house,1
close the all light at house,1
open all light at house,0
cutt all light at house,1
close all light at house,1
open the lights in house,0
cutt the lights in house,1
close the lights in house,1
open lights in house,0
open light in house,0
open the light in house,0
cutt the light in house,1
close the light in house,1
open all lights in house,0
cutt all lights in house,1
close all lights in house,1
open the all lights in house,0
cutt the all lights in house,1
close the all lights in house,1
open the all light in house,0
cutt the all light in house,1
close the all light in house,1
open all light in house,0
cutt all light in house,1
close all light in house,1
open the lights at the house,0
cutt the lights at the house,1
close the lights at the house,1
open lights at the house,0
open light at the house,0
open the light at the house,0
cutt the light at the house,1
close the light at the house,1
open all lights at the house,0
cutt all lights at the house,1
close all lights at the house,1
open the all lights at the house,0
cutt the all lights at the house,1
close the all lights at the house,1
open the all light at the house,0
cutt the all light at the house,1
close the all light at the house,1
open all light at the house,0
cutt all light at the house,1
close all light at the house,1
open the lights in the house,0
cutt the lights in the house,1
close the lights in the house,1
open lights in the house,0
open light in the house,0
open the light in the house,0
cutt the light in the house,1
close the light in the house,1
open all lights in the house,0
cutt all lights in the house,1
close all lights in the house,1
open the all lights in the house,0
cutt the all lights in the house,1
close the all lights in the house,1
open the all light in the house,0
cutt the all light in the house,1
close the all light in the house,1
open all light in the house,0
cutt all light in the house,1
close all light in the house,1
open the lights of house,0
cutt the lights of house,1
close the lights of house,1
open lights of house,0
open light of house,0
open the light of house,0
cutt the light of house,1
close the light of house,1
open all lights of house,0
cutt all lights of house,1
close all lights of house,1
open the all lights of house,0
cutt the all lights of house,1
close the all lights of house,1
open the all light of house,0
cutt the all light of house,1
close the all light of house,1
open all light of house,0
cutt all light of house,1
close all light of house,1
open the lights the house,0
cutt the lights the house,1
close the lights the house,1
open lights the house,0
open light the house,0
open the light the house,0
cutt the light the house,1
close the light the house,1
open all lights the house,0
cutt all lights the house,1
close all lights the house,1
open the all lights the house,0
cutt the all lights the house,1
close the all lights the house,1
open the all light the house,0
cutt the all light the house,1
close the all light the house,1
open all light the house,0
cutt all light the house,1
close all light the house,1
open the lights house,0
cutt the lights house,1
close the lights house,1
open lights house,0
open light house,0
open the light house,0
cutt the light house,1
close the light house,1
open all lights house,0
cutt all lights house,1
close all lights house,1
open the all lights house,0
cutt the all lights house,1
close the all lights house,1
open the all light house,0
cutt the all light house,1
close the all light house,1
open all light house,0
cutt all light house,1
close all light house,1
open the lights all house,0
cutt the lights all house,1
close the lights all house,1
open lights all house,0
open light all house,0
open the light all house,0
cutt the light all house,1
close the light all house,1
open all lights all house,0
cutt all lights all house,1
close all lights all house,1
open the all lights all house,0
cutt the all lights all house,1
close the all lights all house,1
open the all light all house,0
cutt the all light all house,1
close the all light all house,1
open all light all house,0
cutt all light all house,1
close all light all house,1
open the lights of all house,0
cutt the lights of all house,1
close the lights of all house,1
open lights of all house,0
open light of all house,0
open the light of all house,0
cutt the light of all house,1
close the light of all house,1
open all lights of all house,0
cutt all lights of all house,1
close all lights of all house,1
open the all lights of all house,0
cutt the all lights of all house,1
close the all lights of all house,1
open the all light of all house,0
cutt the all light of all house,1
close the all light of all house,1
open all light of all house,0
cutt all light of all house,1
close all light of all house,1
open the lambs,0
cutt the lambs,1
close the lambs,1
open lambs,0
open lamb,0
open the lamb,0
cutt the lamb,1
close the lamb,1
open all lambs,0
cutt all lambs,1
close all lambs,1
open the all lambs,0
cutt the all lambs,1
close the all lambs,1
open the all lamb,0
cutt the all lamb,1
close the all lamb,1
open all lamb,0
cutt all lamb,1
close all lamb,1
open the lambs at home,0
cutt the lambs at home,1
close the lambs at home,1
open lambs  at home,0
open lamb  at home,0
open the lamb at home,0
cutt the lamb at home,1
close the lamb at home,1
open all lambs at home,0
cutt all lambs at home,1
close all lambs at home,1
open the all lambs at home,0
cutt the all lambs at home,1
close the all lambs at home,1
open the all lamb at home,0
cutt the all lamb at home,1
close the all lamb at home,1
open all lamb at home,0
cutt all lamb at home,1
close all lamb at home,1
open the lambs in home,0
cutt the lambs in home,1
close the lambs in home,1
open lambs in home,0
open lamb in home,0
open the lamb in home,0
cutt the lamb in home,1
close the lamb in home,1
open all lambs in home,0
cutt all lambs in home,1
close all lambs in home,1
open the all lambs in home,0
cutt the all lambs in home,1
close the all lambs in home,1
open the all lamb in home,0
cutt the all lamb in home,1
close the all lamb in home,1
open all lamb in home,0
cutt all lamb in home,1
close all lamb in home,1
open the lambs at the home,0
cutt the lambs at the home,1
close the lambs at the home,1
open lambs at the home,0
open lamb at the home,0
open the lamb at the home,0
cutt the lamb at the home,1
close the lamb at the home,1
open all lambs at the home,0
cutt all lambs at the home,1
close all lambs at the home,1
open the all lambs at the home,0
cutt the all lambs at the home,1
close the all lambs at the home,1
open the all lamb at the home,0
cutt the all lamb at the home,1
close the all lamb at the home,1
open all lamb at the home,0
cutt all lamb at the home,1
close all lamb at the home,1
open the lambs in the home,0
cutt the lambs in the home,1
close the lambs in the home,1
open lambs in the home,0
open lamb in the home,0
open the lamb in the home,0
cutt the lamb in the home,1
close the lamb in the home,1
open all lambs in the home,0
cutt all lambs in the home,1
close all lambs in the home,1
open the all lambs in the home,0
cutt the all lambs in the home,1
close the all lambs in the home,1
open the all lamb in the home,0
cutt the all lamb in the home,1
close the all lamb in the home,1
open all lamb in the home,0
cutt all lamb in the home,1
close all lamb in the home,1
open the lambs of home,0
cutt the lambs of home,1
close the lambs of home,1
open lambs of home,0
open lamb of home,0
open the lamb of home,0
cutt the lamb of home,1
close the lamb of home,1
open all lambs of home,0
cutt all lambs of home,1
close all lambs of home,1
open the all lambs of home,0
cutt the all lambs of home,1
close the all lambs of home,1
open the all lamb of home,0
cutt the all lamb of home,1
close the all lamb of home,1
open all lamb of home,0
cutt all lamb of home,1
close all lamb of home,1
open the lambs the home,0
cutt the lambs the home,1
close the lambs the home,1
open lambs the home,0
open lamb the home,0
open the lamb the home,0
cutt the lamb the home,1
close the lamb the home,1
open all lambs the home,0
cutt all lambs the home,1
close all lambs the home,1
open the all lambs the home,0
cutt the all lambs the home,1
close the all lambs the home,1
open the all lamb the home,0
cutt the all lamb the home,1
close the all lamb the home,1
open all lamb the home,0
cutt all lamb the home,1
close all lamb the home,1
open the lambs home,0
cutt the lambs home,1
close the lambs home,1
open lambs home,0
open lamb home,0
open the lamb home,0
cutt the lamb home,1
close the lamb home,1
open all lambs home,0
cutt all lambs home,1
close all lambs home,1
open the all lambs home,0
cutt the all lambs home,1
close the all lambs home,1
open the all lamb home,0
cutt the all lamb home,1
close the all lamb home,1
open all lamb home,0
cutt all lamb home,1
close all lamb home,1
open the lambs all home,0
cutt the lambs all home,1
close the lambs all home,1
open lambs all home,0
open lamb all home,0
open the lamb all home,0
cutt the lamb all home,1
close the lamb all home,1
open all lambs all home,0
cutt all lambs all home,1
close all lambs all home,1
open the all lambs all home,0
cutt the all lambs all home,1
close the all lambs all home,1
open the all lamb all home,0
cutt the all lamb all home,1
close the all lamb all home,1
open all lamb all home,0
cutt all lamb all home,1
close all lamb all home,1
open the lambs of all home,0
cutt the lambs of all home,1
close the lambs of all home,1
open lambs of all home,0
open lamb of all home,0
open the lamb of all home,0
cutt the lamb of all home,1
close the lamb of all home,1
open all lambs of all home,0
cutt all lambs of all home,1
close all lambs of all home,1
open the all lambs of all home,0
cutt the all lambs of all home,1
close the all lambs of all home,1
open the all lamb of all home,0
cutt the all lamb of all home,1
close the all lamb of all home,1
open all lamb of all home,0
cutt all lamb of all home,1
close all lamb of all home,1
open the lambs all of them,0
cutt the lambs all of them,1
close the lambs all of them,1
open lambs all of them,0
open lamb all of them,0
open the lamb all of them,0
cutt the lamb all of them,1
close the lamb all of them,1
open all lambs all of them,0
cutt all lambs all of them,1
close all lambs all of them,1
open the all lambs all of them,0
cutt the all lambs all of them,1
close the all lambs all of them,1
open the all lamb all of them,0
cutt the all lamb all of them,1
close the all lamb all of them,1
open all lamb all of them,0
cutt all lamb all of them,1
close all lamb all of them,1
open the lambs at house,0
cutt the lambs at house,1
close the lambs at house,1
open lambs  at house,0
open lamb  at house,0
open the lamb at house,0
cutt the lamb at house,1
close the lamb at house,1
open all lambs at house,0
cutt all lambs at house,1
close all lambs at house,1
open the all lambs at house,0
cutt the all lambs at house,1
close the all lambs at house,1
open the all lamb at house,0
cutt the all lamb at house,1
close the all lamb at house,1
open all lamb at house,0
cutt all lamb at house,1
close all lamb at house,1
open the lambs in house,0
cutt the lambs in house,1
close the lambs in house,1
open lambs in house,0
open lamb in house,0
open the lamb in house,0
cutt the lamb in house,1
close the lamb in house,1
open all lambs in house,0
cutt all lambs in house,1
close all lambs in house,1
open the all lambs in house,0
cutt the all lambs in house,1
close the all lambs in house,1
open the all lamb in house,0
cutt the all lamb in house,1
close the all lamb in house,1
open all lamb in house,0
cutt all lamb in house,1
close all lamb in house,1
open the lambs at the house,0
cutt the lambs at the house,1
close the lambs at the house,1
open lambs at the house,0
open lamb at the house,0
open the lamb at the house,0
cutt the lamb at the house,1
close the lamb at the house,1
open all lambs at the house,0
cutt all lambs at the house,1
close all lambs at the house,1
open the all lambs at the house,0
cutt the all lambs at the house,1
close the all lambs at the house,1
open the all lamb at the house,0
cutt the all lamb at the house,1
close the all lamb at the house,1
open all lamb at the house,0
cutt all lamb at the house,1
close all lamb at the house,1
open the lambs in the house,0
cutt the lambs in the house,1
close the lambs in the house,1
open lambs in the house,0
open lamb in the house,0
open the lamb in the house,0
cutt the lamb in the house,1
close the lamb in the house,1
open all lambs in the house,0
cutt all lambs in the house,1
close all lambs in the house,1
open the all lambs in the house,0
cutt the all lambs in the house,1
close the all lambs in the house,1
open the all lamb in the house,0
cutt the all lamb in the house,1
close the all lamb in the house,1
open all lamb in the house,0
cutt all lamb in the house,1
close all lamb in the house,1
open the lambs of house,0
cutt the lambs of house,1
close the lambs of house,1
open lambs of house,0
open lamb of house,0
open the lamb of house,0
cutt the lamb of house,1
close the lamb of house,1
open all lambs of house,0
cutt all lambs of house,1
close all lambs of house,1
open the all lambs of house,0
cutt the all lambs of house,1
close the all lambs of house,1
open the all lamb of house,0
cutt the all lamb of house,1
close the all lamb of house,1
open all lamb of house,0
cutt all lamb of house,1
close all lamb of house,1
open the lambs the house,0
cutt the lambs the house,1
close the lambs the house,1
open lambs the house,0
open lamb the house,0
open the lamb the house,0
cutt the lamb the house,1
close the lamb the house,1
open all lambs the house,0
cutt all lambs the house,1
close all lambs the house,1
open the all lambs the house,0
cutt the all lambs the house,1
close the all lambs the house,1
open the all lamb the house,0
cutt the all lamb the house,1
close the all lamb the house,1
open all lamb the house,0
cutt all lamb the house,1
close all lamb the house,1
open the lambs house,0
cutt the lambs house,1
close the lambs house,1
open lambs house,0
open lamb house,0
open the lamb house,0
cutt the lamb house,1
close the lamb house,1
open all lambs house,0
cutt all lambs house,1
close all lambs house,1
open the all lambs house,0
cutt the all lambs house,1
close the all lambs house,1
open the all lamb house,0
cutt the all lamb house,1
close the all lamb house,1
open all lamb house,0
cutt all lamb house,1
close all lamb house,1
open the lambs all house,0
cutt the lambs all house,1
close the lambs all house,1
open lambs all house,0
open lamb all house,0
open the lamb all house,0
cutt the lamb all house,1
close the lamb all house,1
open all lambs all house,0
cutt all lambs all house,1
close all lambs all house,1
open the all lambs all house,0
cutt the all lambs all house,1
close the all lambs all house,1
open the all lamb all house,0
cutt the all lamb all house,1
close the all lamb all house,1
open all lamb all house,0
cutt all lamb all house,1
close all lamb all house,1
open the lambs of all house,0
cutt the lambs of all house,1
close the lambs of all house,1
open lambs of all house,0
open lamb of all house,0
open the lamb of all house,0
cutt the lamb of all house,1
close the lamb of all house,1
open all lambs of all house,0
cutt all lambs of all house,1
close all lambs of all house,1
open the all lambs of all house,0
cutt the all lambs of all house,1
close the all lambs of all house,1
open the all lamb of all house,0
cutt the all lamb of all house,1
close the all lamb of all house,1
open all lamb of all house,0
cutt all lamb of all house,1
close all lamb of all house,1
open the  at home,0
cutt the  at home,1
close the  at home,1
open   at home,0
open   at home,0
open the  at home,0
cutt the  at home,1
close the  at home,1
open all  at home,0
cutt all  at home,1
close all  at home,1
open the all  at home,0
cutt the all  at home,1
close the all  at home,1
open the all  at home,0
cutt the all  at home,1
close the all  at home,1
open all  at home,0
cutt all  at home,1
close all  at home,1
open the  in home,0
cutt the  in home,1
close the  in home,1
open  in home,0
open  in home,0
open the  in home,0
cutt the  in home,1
close the  in home,1
open all  in home,0
cutt all  in home,1
close all  in home,1
open the all  in home,0
cutt the all  in home,1
close the all  in home,1
open the all  in home,0
cutt the all  in home,1
close the all  in home,1
open all  in home,0
cutt all  in home,1
close all  in home,1
open the  at the home,0
cutt the  at the home,1
close the  at the home,1
open  at the home,0
open  at the home,0
open the  at the home,0
cutt the  at the home,1
close the  at the home,1
open all  at the home,0
cutt all  at the home,1
close all  at the home,1
open the all  at the home,0
cutt the all  at the home,1
close the all  at the home,1
open the all  at the home,0
cutt the all  at the home,1
close the all  at the home,1
open all  at the home,0
cutt all  at the home,1
close all  at the home,1
open the  in the home,0
cutt the  in the home,1
close the  in the home,1
open  in the home,0
open  in the home,0
open the  in the home,0
cutt the  in the home,1
close the  in the home,1
open all  in the home,0
cutt all  in the home,1
close all  in the home,1
open the all  in the home,0
cutt the all  in the home,1
close the all  in the home,1
open the all  in the home,0
cutt the all  in the home,1
close the all  in the home,1
open all  in the home,0
cutt all  in the home,1
close all  in the home,1
open the  of home,0
cutt the  of home,1
close the  of home,1
open  of home,0
open  of home,0
open the  of home,0
cutt the  of home,1
close the  of home,1
open all  of home,0
cutt all  of home,1
close all  of home,1
open the all  of home,0
cutt the all  of home,1
close the all  of home,1
open the all  of home,0
cutt the all  of home,1
close the all  of home,1
open all  of home,0
cutt all  of home,1
close all  of home,1
open the  the home,0
cutt the  the home,1
close the  the home,1
open  the home,0
open  the home,0
open the  the home,0
cutt the  the home,1
close the  the home,1
open all  the home,0
cutt all  the home,1
close all  the home,1
open the all  the home,0
cutt the all  the home,1
close the all  the home,1
open the all  the home,0
cutt the all  the home,1
close the all  the home,1
open all  the home,0
cutt all  the home,1
close all  the home,1
open the  home,0
cutt the  home,1
close the  home,1
open  home,0
open  home,0
open the  home,0
cutt the  home,1
close the  home,1
open all  home,0
cutt all  home,1
close all  home,1
open the all  home,0
cutt the all  home,1
close the all  home,1
open the all  home,0
cutt the all  home,1
close the all  home,1
open all  home,0
cutt all  home,1
close all  home,1
open the  all home,0
cutt the  all home,1
close the  all home,1
open  all home,0
open  all home,0
open the  all home,0
cutt the  all home,1
close the  all home,1
open all  all home,0
cutt all  all home,1
close all  all home,1
open the all  all home,0
cutt the all  all home,1
close the all  all home,1
open the all  all home,0
cutt the all  all home,1
close the all  all home,1
open all  all home,0
cutt all  all home,1
close all  all home,1
open the  of all home,0
cutt the  of all home,1
close the  of all home,1
open  of all home,0
open  of all home,0
open the  of all home,0
cutt the  of all home,1
close the  of all home,1
open all  of all home,0
cutt all  of all home,1
close all  of all home,1
open the all  of all home,0
cutt the all  of all home,1
close the all  of all home,1
open the all  of all home,0
cutt the all  of all home,1
close the all  of all home,1
open all  of all home,0
cutt all  of all home,1
close all  of all home,1
open the  all of them,0
cutt the  all of them,1
close the  all of them,1
open  all of them,0
open  all of them,0
open the  all of them,0
cutt the  all of them,1
close the  all of them,1
open all  all of them,0
cutt all  all of them,1
close all  all of them,1
open the all  all of them,0
cutt the all  all of them,1
close the all  all of them,1
open the all  all of them,0
cutt the all  all of them,1
close the all  all of them,1
open all  all of them,0
cutt all  all of them,1
close all  all of them,1
open the  at house,0
cutt the  at house,1
close the  at house,1
open   at house,0
open   at house,0
open the  at house,0
cutt the  at house,1
close the  at house,1
open all  at house,0
cutt all  at house,1
close all  at house,1
open the all  at house,0
cutt the all  at house,1
close the all  at house,1
open the all  at house,0
cutt the all  at house,1
close the all  at house,1
open all  at house,0
cutt all  at house,1
close all  at house,1
open the  in house,0
cutt the  in house,1
close the  in house,1
open  in house,0
open  in house,0
open the  in house,0
cutt the  in house,1
close the  in house,1
open all  in house,0
cutt all  in house,1
close all  in house,1
open the all  in house,0
cutt the all  in house,1
close the all  in house,1
open the all  in house,0
cutt the all  in house,1
close the all  in house,1
open all  in house,0
cutt all  in house,1
close all  in house,1
open the  at the house,0
cutt the  at the house,1
close the  at the house,1
open  at the house,0
open  at the house,0
open the  at the house,0
cutt the  at the house,1
close the  at the house,1
open all  at the house,0
cutt all  at the house,1
close all  at the house,1
open the all  at the house,0
cutt the all  at the house,1
close the all  at the house,1
open the all  at the house,0
cutt the all  at the house,1
close the all  at the house,1
open all  at the house,0
cutt all  at the house,1
close all  at the house,1
open the  in the house,0
cutt the  in the house,1
close the  in the house,1
open  in the house,0
open  in the house,0
open the  in the house,0
cutt the  in the house,1
close the  in the house,1
open all  in the house,0
cutt all  in the house,1
close all  in the house,1
open the all  in the house,0
cutt the all  in the house,1
close the all  in the house,1
open the all  in the house,0
cutt the all  in the house,1
close the all  in the house,1
open all  in the house,0
cutt all  in the house,1
close all  in the house,1
open the  of house,0
cutt the  of house,1
close the  of house,1
open  of house,0
open  of house,0
open the  of house,0
cutt the  of house,1
close the  of house,1
open all  of house,0
cutt all  of house,1
close all  of house,1
open the all  of house,0
cutt the all  of house,1
close the all  of house,1
open the all  of house,0
cutt the all  of house,1
close the all  of house,1
open all  of house,0
cutt all  of house,1
close all  of house,1
open the  the house,0
cutt the  the house,1
close the  the house,1
open  the house,0
open  the house,0
open the  the house,0
cutt the  the house,1
close the  the house,1
open all  the house,0
cutt all  the house,1
close all  the house,1
open the all  the house,0
cutt the all  the house,1
close the all  the house,1
open the all  the house,0
cutt the all  the house,1
close the all  the house,1
open all  the house,0
cutt all  the house,1
close all  the house,1
open the  house,0
cutt the  house,1
close the  house,1
open  house,0
open  house,0
open the  house,0
cutt the  house,1
close the  house,1
open all  house,0
cutt all  house,1
close all  house,1
open the all  house,0
cutt the all  house,1
close the all  house,1
open the all  house,0
cutt the all  house,1
close the all  house,1
open all  house,0
cutt all  house,1
close all  house,1
open the  all house,0
cutt the  all house,1
close the  all house,1
open  all house,0
open  all house,0
open the  all house,0
cutt the  all house,1
close the  all house,1
open all  all house,0
cutt all  all house,1
close all  all house,1
open the all  all house,0
cutt the all  all house,1
close the all  all house,1
open the all  all house,0
cutt the all  all house,1
close the all  all house,1
open all  all house,0
cutt all  all house,1
close all  all house,1
open the  of all house,0
cutt the  of all house,1
close the  of all house,1
open  of all house,0
open  of all house,0
open the  of all house,0
cutt the  of all house,1
close the  of all house,1
open all  of all house,0
cutt all  of all house,1
close all  of all house,1
open the all  of all house,0
cutt the all  of all house,1
close the all  of all house,1
open the all  of all house,0
cutt the all  of all house,1
close the all  of all house,1
open all  of all house,0
cutt all  of all house,1
close all  of all house,1
Can you open the lights,0
Can you cutt the lights,1
Can you close the lights,1
Can you open lights,0
Can you open light,0
Can you open the light,0
Can you cutt the light,1
Can you close the light,1
Can you open all lights,0
Can you cutt all lights,1
Can you close all lights,1
Can you open the all lights,0
Can you cutt the all lights,1
Can you close the all lights,1
Can you open the all light,0
Can you cutt the all light,1
Can you close the all light,1
Can you open all light,0
Can you cutt all light,1
Can you close all light,1
Can you open the lights at home,0
Can you cutt the lights at home,1
Can you close the lights at home,1
Can you open lights  at home,0
Can you open light  at home,0
Can you open the light at home,0
Can you cutt the light at home,1
Can you close the light at home,1
Can you open all lights at home,0
Can you cutt all lights at home,1
Can you close all lights at home,1
Can you open the all lights at home,0
Can you cutt the all lights at home,1
Can you close the all lights at home,1
Can you open the all light at home,0
Can you cutt the all light at home,1
Can you close the all light at home,1
Can you open all light at home,0
Can you cutt all light at home,1
Can you close all light at home,1
Can you open the lights in home,0
Can you cutt the lights in home,1
Can you close the lights in home,1
Can you open lights in home,0
Can you open light in home,0
Can you open the light in home,0
Can you cutt the light in home,1
Can you close the light in home,1
Can you open all lights in home,0
Can you cutt all lights in home,1
Can you close all lights in home,1
Can you open the all lights in home,0
Can you cutt the all lights in home,1
Can you close the all lights in home,1
Can you open the all light in home,0
Can you cutt the all light in home,1
Can you close the all light in home,1
Can you open all light in home,0
Can you cutt all light in home,1
Can you close all light in home,1
Can you open the lights at the home,0
Can you cutt the lights at the home,1
Can you close the lights at the home,1
Can you open lights at the home,0
Can you open light at the home,0
Can you open the light at the home,0
Can you cutt the light at the home,1
Can you close the light at the home,1
Can you open all lights at the home,0
Can you cutt all lights at the home,1
Can you close all lights at the home,1
Can you open the all lights at the home,0
Can you cutt the all lights at the home,1
Can you close the all lights at the home,1
Can you open the all light at the home,0
Can you cutt the all light at the home,1
Can you close the all light at the home,1
Can you open all light at the home,0
Can you cutt all light at the home,1
Can you close all light at the home,1
Can you open the lights in the home,0
Can you cutt the lights in the home,1
Can you close the lights in the home,1
Can you open lights in the home,0
Can you open light in the home,0
Can you open the light in the home,0
Can you cutt the light in the home,1
Can you close the light in the home,1
Can you open all lights in the home,0
Can you cutt all lights in the home,1
Can you close all lights in the home,1
Can you open the all lights in the home,0
Can you cutt the all lights in the home,1
Can you close the all lights in the home,1
Can you open the all light in the home,0
Can you cutt the all light in the home,1
Can you close the all light in the home,1
Can you open all light in the home,0
Can you cutt all light in the home,1
Can you close all light in the home,1
Can you open the lights of home,0
Can you cutt the lights of home,1
Can you close the lights of home,1
Can you open lights of home,0
Can you open light of home,0
Can you open the light of home,0
Can you cutt the light of home,1
Can you close the light of home,1
Can you open all lights of home,0
Can you cutt all lights of home,1
Can you close all lights of home,1
Can you open the all lights of home,0
Can you cutt the all lights of home,1
Can you close the all lights of home,1
Can you open the all light of home,0
Can you cutt the all light of home,1
Can you close the all light of home,1
Can you open all light of home,0
Can you cutt all light of home,1
Can you close all light of home,1
Can you open the lights the home,0
Can you cutt the lights the home,1
Can you close the lights the home,1
Can you open lights the home,0
Can you open light the home,0
Can you open the light the home,0
Can you cutt the light the home,1
Can you close the light the home,1
Can you open all lights the home,0
Can you cutt all lights the home,1
Can you close all lights the home,1
Can you open the all lights the home,0
Can you cutt the all lights the home,1
Can you close the all lights the home,1
Can you open the all light the home,0
Can you cutt the all light the home,1
Can you close the all light the home,1
Can you open all light the home,0
Can you cutt all light the home,1
Can you close all light the home,1
Can you open the lights home,0
Can you cutt the lights home,1
Can you close the lights home,1
Can you open lights home,0
Can you open light home,0
Can you open the light home,0
Can you cutt the light home,1
Can you close the light home,1
Can you open all lights home,0
Can you cutt all lights home,1
Can you close all lights home,1
Can you open the all lights home,0
Can you cutt the all lights home,1
Can you close the all lights home,1
Can you open the all light home,0
Can you cutt the all light home,1
Can you close the all light home,1
Can you open all light home,0
Can you cutt all light home,1
Can you close all light home,1
Can you open the lights all home,0
Can you cutt the lights all home,1
Can you close the lights all home,1
Can you open lights all home,0
Can you open light all home,0
Can you open the light all home,0
Can you cutt the light all home,1
Can you close the light all home,1
Can you open all lights all home,0
Can you cutt all lights all home,1
Can you close all lights all home,1
Can you open the all lights all home,0
Can you cutt the all lights all home,1
Can you close the all lights all home,1
Can you open the all light all home,0
Can you cutt the all light all home,1
Can you close the all light all home,1
Can you open all light all home,0
Can you cutt all light all home,1
Can you close all light all home,1
Can you open the lights of all home,0
Can you cutt the lights of all home,1
Can you close the lights of all home,1
Can you open lights of all home,0
Can you open light of all home,0
Can you open the light of all home,0
Can you cutt the light of all home,1
Can you close the light of all home,1
Can you open all lights of all home,0
Can you cutt all lights of all home,1
Can you close all lights of all home,1
Can you open the all lights of all home,0
Can you cutt the all lights of all home,1
